後	后
裡	里
麼	么
臺	台
風	风
電	电
車	车
馬	马
魚	鱼
鳥	鸟
龍	龙
東	东
門	门
貝	贝
見	见
頁	页
長	长
書	书
國	国
會	会
來	来
時	时
個	个
們	们
從	从
兒	儿
兩	两
亂	乱
雲	云
亞	亚
產	产
畝	亩
親	亲
億	亿
僅	仅
倉	仓
讓	让
議	议
記	记
講	讲
許	许
論	论
訪	访
設	设
證	证
評	评
識	识
訴	诉
詞	词
詩	诗
誠	诚
話	话
該	该
詳	详
語	语
誤	误
說	说
請	请
課	课
誰	谁
調	调
談	谈
謀	谋
謊	谎
謝	谢
謠	谣
識	识
讀	读
財	财
責	责
賢	贤
賬	账
貧	贫
貨	货
質	质
販	贩
貪	贪
貫	贯
貴	贵
貸	贷
費	费
賀	贺
賊	贼
賈	贾
賄	贿
資	资
賠	赔
賴	赖
賽	赛
贊	赞
贏	赢
贈	赠
贓	赃
躍	跃
踐	践
蹤	踪
車	车
軌	轨
轉	转
輪	轮
軟	软
轟	轰
輕	轻
載	载
輩	辈
輝	辉
輸	输
辭	辞
邊	边
達	达
遷	迁
過	过
運	运
還	还
進	进
遠	远
違	违
連	连
遲	迟
適	适
選	选
遺	遗
遙	遥
鄧	邓
鄰	邻
鄭	郑
醫	医
醬	酱
釀	酿
針	针
釣	钓
鈣	钙
鈍	钝
鈔	钞
鐘	钟
鈉	钠
鈄	钭
鈕	钮
鈞	钧
鈾	铀
鐵	铁
鉑	铂
鈴	铃
鉛	铅
鉚	铆
銅	铜
銘	铭
銳	锐
銑	铣
銓	铨
銖	铢
銀	银
銹	锈
鋒	锋
鋅	锌
鋤	锄
鋪	铺
鋼	钢
錄	录
錐	锥
錦	锦
錫	锡
錯	错
錢	钱
錠	锭
錨	锚
錦	锦
錫	锡
錯	错
錢	钱
錠	锭
錨	锚
鍋	锅
鍵	键
鍾	锺
鎊	镑
鎮	镇
鎖	锁
鎢	钨
鎳	镍
鏈	链
鏡	镜
鏟	铲
鏽	锈
鐘	钟
鐮	镰
鐵	铁
鑄	铸
鑑	鉴
鑒	鉴
鑣	镳
鑰	钥
鑲	镶
長	长
門	门
閂	闩
閃	闪
閉	闭
問	问
閏	闰
閑	闲
間	间
閔	闵
閘	闸
鬧	闹
閨	闺
聞	闻
閩	闽
閥	阀
閣	阁
閱	阅
閹	阉
閻	阎
閾	阈
闆	板
闈	闱
闊	阔
闋	阕
闌	阑
闐	阗
闖	闯
關	关
闡	阐
闢	辟
隊	队
陽	阳
陰	阴
陣	阵
階	阶
際	际
陸	陆
陳	陈
陝	陕
隄	堤
隕	陨
險	险
隱	隐
隴	陇
隸	隶
難	难
雛	雏
雙	双
雜	杂
雞	鸡
離	离
雲	云
電	电
霧	雾
霽	霁
靂	雳
靄	霭
靈	灵
靑	青
靜	静
靦	腼
靨	靥
鞏	巩
韃	鞑
韋	韦
韌	韧
韓	韩
韜	韬
韻	韵
響	响
頁	页
頂	顶
頃	顷
項	项
順	顺
須	须
預	预
頑	顽
頓	顿
頗	颇
領	领
頜	颌
頡	颉
頤	颐
頻	频
頷	颔
顆	颗
題	题
額	额
顎	颚
顏	颜
顓	颛
願	愿
顙	颡
顛	颠
類	类
顥	颢
顧	顾
顫	颤
顯	显
顰	颦
顱	颅
顳	颞
風	风
颯	飒
颱	台
颳	刮
颶	飓
颼	飕
飄	飘
飆	飙
飛	飞
飢	饥
飩	饨
飪	饪
飫	饫
飭	饬
飯	饭
飲	饮
飴	饴
飼	饲
飽	饱
飾	饰
餃	饺
餅	饼
餉	饷
養	养
餌	饵
餓	饿
餘	余
餚	肴
餛	馄
餞	饯
餡	馅
館	馆
餬	糊
餵	喂
餾	馏
餿	馊
饅	馒
饈	馐
饉	馑
饊	馓
饋	馈
饌	馔
饑	饥
饒	饶
饗	飨
饜	餍
饞	馋
饢	馕
馬	马
馭	驭
馮	冯
馱	驮
馳	驰
馴	驯
駁	驳
駐	驻
駑	驽
駒	驹
駔	驵
駕	驾
駘	骀
駙	驸
駛	驶
駝	驼
駟	驷
駢	骈
駭	骇
駰	骃
駱	骆
駿	骏
騁	骋
騎	骑
騖	骛
騙	骗
騫	骞
騰	腾
騷	骚
騾	骡
驀	蓦
驂	骖
驃	骠
驅	驱
驊	骅
驌	骕
驍	骁
驏	骣
驕	骄
驗	验
驚	惊
驛	驿
驟	骤
驢	驴
驥	骥
驪	骊
驫	骉
骨	骨
骯	肮
骰	骰
骱	骱
骶	骶
骷	骷
骸	骸
骺	骺
骼	骼
髀	髀
髁	髁
髂	髂
髏	髅
髒	脏
髓	髓
體	体
髕	髌
髖	髋
髮	发
鬆	松
鬍	胡
鬚	须
鬢	鬓
鬥	斗
鬧	闹
鬨	哄
鬩	阋
鬮	阄
鬱	郁
鬲	鬲
鬴	釜
鬻	鬻
鬼	鬼
魁	魁
魂	魂
魃	魃
魄	魄
魅	魅
魆	魆
魈	魈
魉	魉
魍	魍
魎	魎
魏	魏
魑	魑
魔	魔
魘	魇
魚	鱼
魛	鱽
魟	魟
魷	鱿
魺	鲄
鮁	鲅
鮃	鲆
鮊	鲌
鮋	鲉
鮌	鲧
鮍	鲏
鮎	鲇
鮐	鲐
鮑	鲍
鮒	鲋
鮓	鲊
鮚	鲒
鮜	鲘
鮝	鲞
鮞	鲕
鮟	𩽾
鮠	鲠
鮡	鲇
鮣	䲟
鮦	鲖
鮪	鲔
鮫	鲛
鮭	鲑
鮮	鲜
鮳	鲙
鮶	鲪
鮷	鳀
鮺	鲝
鯀	鲧
鯁	鲠
鯇	鲩
鯉	鲤
鯊	鲨
鯒	鲬
鯔	鲻
鯕	鲯
鯖	鲭
鯗	鲞
鯛	鲷
鯝	鲴
鯡	鲱
鯢	鲵
鯤	鲲
鯧	鲳
鯨	鲸
鯪	鲮
鯫	鲰
鯰	鲶
鯱	䲠
鯴	鲺
鯵	鲹
鯷	鳀
鯽	鲫
鯿	鳊
鰁	鳈
鰂	鲗
鰃	鳂
鰆	䲠
鰈	鲽
鰉	鳇
鰌	鳅
鰍	鳅
鰏	鲾
鰐	鳄
鰒	鳆
鰓	鳃
鰛	鳁
鰜	鳒
鰟	鳑
鰠	鳋
鰣	鲥
鰤	𫚕
鰥	鳏
鰧	䲢
鰨	鳎
鰩	鳐
鰭	鳍
鰮	鳁
鰱	鲢
鰲	鳌
鰳	鳓
鰵	鳘
鰷	鲦
鰹	鲣
鰺	鲹
鰻	鳗
鰼	鳛
鰾	鳔
鱄	鳁
鱅	鳙
鱆	蟑
鱇	𩽾
鱈	鳕
鱉	鳖
鱒	鳟
鱔	鳝
鱖	鳜
鱗	鳞
鱘	鲟
鱝	鲼
鱟	鲎
鱠	鲙
鱣	鳣
鱤	鳡
鱧	鳢
鱨	鲿
鱭	鲚
鱯	鳠
鱲	鳓
鱷	鳄
鱸	鲈
鱺	鲡
鳥	鸟
鳩	鸠
鳲	鸤
鳳	凤
鳴	鸣
鳶	鸢
鳾	䴓
鴆	鸩
鴇	鸨
鴈	雁
鴉	鸦
鴒	鸰
鴕	鸵
鴛	鸳
鴝	鸲
鴞	鸮
鴟	鸱
鴣	鸪
鴦	鸯
鴨	鸭
鴯	鸸
鴰	鸹
鴴	鸻
鴷	䴕
鴻	鸿
鴿	鸽
鵂	鸺
鵃	鸼
鵐	鹀
鵑	鹃
鵒	鹆
鵓	鹁
鵜	鹈
鵝	鹅
鵠	鹄
鵡	鹉
鵪	鹌
鵬	鹏
鵯	鹎
鵲	鹊
鵷	鹓
鵾	鹍
鶄	䴔
鶇	鸫
鶉	鹑
鶊	鹒
鶓	鹋
鶖	鹙
鶘	鹕
鶚	鹗
鶡	鹖
鶥	鹛
鶩	鹜
鶬	鸧
鶯	莺
鶱	骞
鶴	鹤
鶹	鹠
鶺	鹡
鶻	鹘
鷀	鹚
鷁	鹢
鷂	鹞
鷄	鸡
鷈	䴘
鷊	鹝
鷓	鹧
鷖	鹥
鷗	鸥
鷙	鸷
鷚	鹨
鷥	鸶
鷦	鹪
鷫	鹔
鷯	鹩
鷲	鹫
鷳	鹇
鷸	鹬
鷹	鹰
鷺	鹭
鷽	鸴
鷿	䴙
鸂	㶉
鸇	鹯
鸌	鹱
鸏	鹲
鸕	鸬
鸘	鹴
鸚	鹦
鸛	鹳
鸝	鹂
鸞	鸾
鹵	卤
鹹	咸
鹺	鹾
鹽	盐
麗	丽
麥	麦
麩	麸
麵	面
麼	么
黃	黄
黌	黉
點	点
黨	党
黲	黪
黴	霉
黶	黡
黷	黩
黽	黾
黿	鼋
鼉	鼍
鼕	冬
鼴	鼹
齊	齐
齋	斋
齎	赍
齏	齑
