# "一"字固定搭配保护规则
# 这些搭配中的"一"是普通汉字，不应该被转换为"1"
# 格式: <错误结果>\t<正确结果>
#
1旦	一旦
万1	万一
1心	一心
1生	一生
1路	一路
1起	一起
1直	一直
1样	一样
1般	一般
1边	一边
1面	一面
1度	一度
1致	一致
1贯	一贯
1律	一律
1端	一端
1瞬	一瞬
1时	一时
1阵	一阵
1带	一带
1定	一定
1切	一切
1向	一向
1共	一共
1并	一并
1同	一同
1齐	一齐
1概	一概
1总	一总
1径	一径
1味	一味
1再	一再
1连	一连
1力	一力
1气	一气
1色	一色
1派	一派
1式	一式
1体	一体
1类	一类
1流	一流
1等	一等
1级	一级
1品	一品
1手	一手
1脚	一脚
1口	一口
1眼	一眼
1身	一身
1头	一头
1条	一条
1根	一根
1张	一张
1片	一片
1块	一块
1件	一件
1份	一份
1只	一只
1双	一双
1对	一对
1副	一副
1套	一套
1组	一组
1队	一队
1群	一群
1批	一批
1堆	一堆
1排	一排
1列	一列
1行	一行
1层	一层
1座	一座
1栋	一栋
1幢	一幢
1间	一间
1扇	一扇
1页	一页
1本	一本
1册	一册
1卷	一卷
1封	一封
1篇	一篇
1段	一段
1句	一句
1字	一字
1笔	一笔
1画	一画
1刀	一刀
1枪	一枪
1剑	一剑
1箭	一箭
1拳	一拳
1掌	一掌
1指	一指
1步	一步
1跃	一跃
1跳	一跳
1跑	一跑
1走	一走
1站	一站
1坐	一坐
1躺	一躺
1卧	一卧
1趴	一趴
1跪	一跪
1蹲	一蹲
1立	一立
1带1路	一带一路
1心1意	一心一意
1举1动	一举一动
1五1十	一五一十
1唱1和	一唱一和
1板1眼	一板一眼
1模1样	一模一样
1丝1毫	一丝一毫
1朝1夕	一朝一夕
1草1木	一草一木
1砖1瓦	一砖一瓦
1针1线	一针一线
1兵1卒	一兵一卒
1鳞1爪	一鳞一爪
1颦1笑	一颦一笑
1言1行	一言一行
1五一十	一五一十
独1无二	独一无二
说1不二	说一不二
数1数二	数一数二
接2连3	接二连三
不3不4	不三不四
丢3落4	丢三落四
挑3拣4	挑三拣四
说3道4	说三道四
朝3暮4	朝三暮四
推3阻4	推三阻四
颠3倒4	颠三倒四
低3下4	低三下四
不5不6	不五不六
人5人6	人五人六
1意	一意
