category,lang,operator,input,expected,itntext,wetext,itntext_status,wetext_status,itntext_cold_ms,wetext_cold_ms,note
数字,zh,tn,123,一百二十三,一百二十三,一百二十三,pass,pass,11.258,1.387,
小数,zh,tn,3.14,三点一四,三点一四,三点一四,pass,pass,0.963,1.182,
百分比,zh,tn,25%,百分之二十五,百分之二十五,百分之二十五,pass,pass,0.683,0.892,
时间,zh,tn,10:30,十点三十分,十点三十分,十点三十分,pass,pass,0.933,1.268,
日期,zh,tn,2026年6月12日,二零二六年六月十二日,二零二六年六月十二日,二零二六年六月十二日,pass,pass,1.665,2.682,
日期上下文,zh,tn,今天是2026年6月12日,今天是二零二六年六月十二日,今天是二零二六年六月十二日,今天是二零二六年六月十二日,pass,pass,2.124,3.117,
单位,zh,tn,12公斤,十二公斤,十二公斤,十二公斤,pass,pass,0.837,1.063,
金额,zh,tn,￥12.50,,十二点五零人民币,十二点五零元,observe,observe,1.119,1.584,金额读法不同，观察输出
电话,zh,tn,13800000000,幺三八零零零零零零零零,幺三八零零零零零零零零,幺三八零零零零零零零零,pass,pass,2.143,3.170,
数字,zh,itn,一百二十三,123,123,123,pass,pass,11.941,0.953,
小数,zh,itn,三点一四,3.14,3.14,3.14,pass,pass,0.584,0.743,
百分比,zh,itn,百分之二十五,25%,25%,25%,pass,pass,0.481,0.909,
时间,zh,itn,上午十点三十分,上午 10:30,上午 10:30,10:30a.m.,pass,fail,0.515,1.172,
日期号,zh,itn,五月二十三号,5月23号,5月23号,05/23,pass,fail,0.580,0.981,
日期日,zh,itn,四月二十三日,4月23日,4月23日,04/23,pass,fail,0.553,0.964,
单位,zh,itn,十二公斤,12kg,12kg,12kg,pass,pass,0.504,0.731,
金额,zh,itn,十二元五角,¥12.5,¥12.5,¥12.5,pass,pass,0.646,0.919,
金额,zh,itn,十二元五角三分,¥12.53,¥12.53,¥12.53,pass,pass,0.644,1.125,
金额,zh,itn,十二元五分,¥12.05,¥12.05,¥125分,pass,fail,0.628,0.966,
电话,zh,itn,幺三八零零零零零零零零,13800000000,13800000000,13800000000,pass,pass,0.627,1.678,
数字,en,tn,123,one hundred and twenty three,one hundred and twenty three,one hundred and twenty three,pass,pass,179.650,4.661,
小数,en,tn,3.14,three point one four,three point one four,three point one four,pass,pass,3.157,4.315,
百分比,en,tn,25%,twenty five percent,twenty five percent,twenty five percent,pass,pass,2.024,2.696,
时间,en,tn,10:30,ten thirty,ten thirty,ten thirty,pass,pass,3.372,4.126,
金额,en,tn,$12.50,,twelve dollars fifty cents,twelve point five dollars,observe,observe,2.831,5.505,金额读法不同，观察输出
单位,en,tn,12 kg,twelve kilograms,twelve kilograms,twelve kilograms,pass,pass,2.355,3.161,
数字,en,itn,one hundred twenty three,123,123,123,pass,pass,24.552,1.899,
小数,en,itn,three point one four,3.14,3.14,3.14,pass,pass,1.878,1.704,
百分比,en,itn,twenty five percent,25 %,25 %,25 %,pass,pass,1.762,1.430,
时间,en,itn,ten thirty,1030,1030,1030,pass,pass,1.163,1.023,
金额,en,itn,twelve dollars fifty cents,$12.50,$12.50,$12.50,pass,pass,1.964,1.706,
单位,en,itn,twelve kilograms,12 kg,12 kg,12 kg,pass,pass,1.058,0.961,
多语言数字,de,itn,ein hundert drei und zwanzig,,123,unsupported,observe,unsupported,43.691,,
多语言数字,es,itn,ciento veintitrés,,123,unsupported,observe,unsupported,15.809,,
多语言数字,fr,itn,cent vingt trois,,120 trois,unsupported,observe,unsupported,52.721,,
多语言数字,id,itn,seratus dua puluh tiga,123,123,unsupported,pass,unsupported,28.116,,
多语言数字,ja,itn,百二十三,123,123,unsupported,pass,unsupported,59.473,,
多语言数字,ko,itn,백이십삼,,백이십삼,unsupported,observe,unsupported,23.359,,
多语言数字,pt,itn,cento e vinte três,,123,unsupported,observe,unsupported,16.957,,
多语言数字,ru,itn,сто двадцать три,,123,unsupported,observe,unsupported,393.491,,
多语言数字,tl,itn,isang daan dalawampu tatlo,,100 20 3,unsupported,observe,unsupported,22.562,,
多语言数字,vi,itn,một trăm hai mươi ba,,123,unsupported,observe,unsupported,14.742,,
多语言TN,de,tn,123,,ein hundert drei und zwanzig,unsupported,observe,unsupported,131.297,,
多语言TN,es,tn,123,,ciento veintitrés,unsupported,observe,unsupported,613.334,,
多语言TN,ru,tn,123,,сто двадцать три,unsupported,observe,unsupported,868.693,,
