category,lang,operator,input,expected,itntext,wetext,itntext_status,wetext_status,itntext_cold_ms,wetext_cold_ms,note
数字,zh,tn,0,零,零,零,pass,pass,10.795,0.581,
数字,zh,tn,123,一百二十三,一百二十三,一百二十三,pass,pass,0.738,1.147,
数字,zh,tn,1001,一千零一,一千零一,一千零一,pass,pass,0.899,1.358,
长数字/电话,zh,tn,13800000000,幺三八零零零零零零零零,幺三八零零零零零零零零,幺三八零零零零零零零零,pass,pass,1.865,3.200,
小数,zh,tn,3.14,三点一四,三点一四,三点一四,pass,pass,0.759,1.074,
百分比,zh,tn,25%,百分之二十五,百分之二十五,百分之二十五,pass,pass,0.675,0.907,
时间,zh,tn,10:30,十点三十分,十点三十分,十点三十分,pass,pass,0.954,1.302,
日期,zh,tn,2026年6月12日,二零二六年六月十二日,二零二六年六月十二日,二零二六年六月十二日,pass,pass,1.672,2.565,
日期上下文,zh,tn,今天是2026年6月12日,今天是二零二六年六月十二日,今天是二零二六年六月十二日,今天是二零二六年六月十二日,pass,pass,2.041,3.055,
单位,zh,tn,12公斤,十二公斤,十二公斤,十二公斤,pass,pass,0.844,1.075,
金额/货币,zh,tn,￥12.50,,十二点五零人民币,十二点五零元,observe,observe,1.121,1.586,中文 TN 金额读法不同，观察输出
金额/货币,zh,tn,$12.50,,十二点五零美元,十二点五零美元,observe,observe,1.105,1.554,货币名和符号读法不同，观察输出
数字,zh,itn,一百二十三,123,123,123,pass,pass,11.980,0.957,
小数,zh,itn,三点一四,3.14,3.14,3.14,pass,pass,0.581,0.722,
百分比,zh,itn,百分之二十五,25%,25%,25%,pass,pass,0.512,0.934,
分数,zh,itn,三分之一,1/3,1/3,1/3,pass,pass,0.497,0.733,
时间,zh,itn,上午十点三十分,上午 10:30,上午 10:30,10:30a.m.,pass,fail,0.531,1.142,
时间,zh,itn,下午三点零五分,,下午 03:05,3:05p.m.,observe,observe,0.515,1.140,观察中文时间更复杂表达
日期,zh,itn,五月二十三号,5月23号,5月23号,05/23,pass,fail,0.557,0.972,
日期,zh,itn,四月二十三日,4月23日,4月23日,04/23,pass,fail,0.532,0.952,
单位,zh,itn,十二公斤,12kg,12kg,12kg,pass,pass,0.629,0.729,
单位,zh,itn,三公里,3km,3km,3km,pass,pass,0.457,0.559,
金额/货币,zh,itn,十二元五角,¥12.5,¥12.5,¥12.5,pass,pass,0.617,0.872,
金额/货币,zh,itn,十二元五角三分,¥12.53,¥12.53,¥12.53,pass,pass,0.649,1.077,
金额/货币,zh,itn,十二元五分,¥12.05,¥12.05,¥125分,pass,fail,0.628,0.934,
金额/货币,zh,itn,十二美元,$12,$12,$12,pass,pass,0.487,0.769,
长数字/电话,zh,itn,幺三八零零零零零零零零,13800000000,13800000000,13800000000,pass,pass,0.611,1.687,
电子类,zh,itn,一二三点四五,,123.45,123.45,observe,observe,0.569,1.052,观察电子/小数边界
数字,en,tn,123,one hundred and twenty three,one hundred and twenty three,one hundred and twenty three,pass,pass,176.976,4.651,
数字,en,tn,1001,one thousand one,one thousand one,one thousand one,pass,pass,3.517,5.185,
小数,en,tn,3.14,three point one four,three point one four,three point one four,pass,pass,3.015,3.942,
百分比,en,tn,25%,twenty five percent,twenty five percent,twenty five percent,pass,pass,2.022,2.738,
时间,en,tn,10:30,ten thirty,ten thirty,ten thirty,pass,pass,3.309,4.183,
日期,en,tn,01/02/2026,,january second twenty twenty six,the second of january twenty twenty six,observe,observe,1.431,10.442,英文日期歧义，观察输出
金额/货币,en,tn,$12.50,,twelve dollars fifty cents,twelve point five dollars,observe,observe,2.990,5.541,wetext 和 itntext 货币读法不同
金额/货币,en,tn,€12.50,,twelve euros fifty cents,twelve point five euros,observe,observe,2.874,5.545,观察欧元读法
单位,en,tn,12 kg,twelve kilograms,twelve kilograms,twelve kilograms,pass,pass,2.425,3.095,
数字,en,itn,one hundred twenty three,123,123,123,pass,pass,23.671,1.914,
小数,en,itn,three point one four,3.14,3.14,3.14,pass,pass,1.927,1.666,
百分比,en,itn,twenty five percent,25 %,25 %,25 %,pass,pass,1.753,1.449,
